species,nodulation
Acacia_spectabilis,Yes
Acacia_sphaerocephala,Yes
Acacia_spinescens,Yes
Acacia_spirorbis,Yes
Acacia_spondylophylla,Yes
Acacia_spongolitica,Yes
Acacia_stenophylla,Yes
Acacia_stenoptera,Yes
Acacia_stereophylla,Yes
Acacia_stigmatophylla,Yes
Acacia_stipuligera,Yes
Acacia_stricta,Yes
Acacia_stuhlmannii,Yes
Acacia_subangulata,Yes
Acacia_subcaerulea,Yes
Acacia_suberosa,Yes
Acacia_subporosa,Yes
Acacia_subtessarogona,Yes
Acacia_sulcata,Yes
Acacia_swazica,Yes
Acacia_synchronicia,Yes
Acacia_tarculensis,Yes
Acacia_teniana,Yes
Acacia_tenuifolia,Yes
Acacia_tenuispica,Yes
Acacia_tenuissima,Yes
Acacia_tequilana,Yes
Acacia_terminalis,Yes
Acacia_tetanophylla,Yes
Acacia_tindaleae,Yes
Acacia_tomentosa,Yes
Acacia_torta,Yes
Acacia_torticarpa,Yes
Acacia_tortilis,Yes
Acacia_tortuosa,Yes
Acacia_trachycarpa,Yes
Acacia_trachyphloia,Yes
Acacia_translucens,Yes
Acacia_trigonophylla,Yes
Acacia_trinalis,Yes
Acacia_trineura,Yes
Acacia_triptera,Yes
Acacia_triptycha,Yes
Acacia_truncata,Yes
Acacia_tumida,Yes
Acacia_ulicifolia,Yes
Acacia_ulicina,Yes
Acacia_uncinata,Yes
Acacia_uncinella,Yes
Acacia_undoolyana,Yes
Acacia_urophylla,Yes
Acacia_validinervia,Yes
Acacia_verniciflua,Yes
Acacia_veronica,Yes
Acacia_verricula,Yes
Acacia_verticillata,Yes
Acacia_vestita,Yes
Acacia_victoriae,Yes
Acacia_villosa,Yes
Acacia_visco,Yes
Acacia_volubilis,Yes
Acacia_wanyu,Yes
Acacia_wattsiana,Yes
Acacia_websteri,Yes
Acacia_whitei,Yes
Acacia_wickhamii,Yes
Acacia_wilhelmiana,Yes
Acacia_willardiana,Yes
Acacia_willdenowiana,Yes
Acacia_williamsonii,Yes
Acacia_wiseana,Yes
Acacia_wrightii,Yes
Acacia_xanthina,Yes
Acacia_xanthophloea,Yes
Acacia_xiphophylla,Yes
Acacia_yirrkallensis,Yes
Acacia_yorkrakinensis,Yes
Acacia_yunnanensis,Yes
Acaciella_bicolor,Yes
Acaciella_chamelensis,Yes
Acaciella_goldmanii,Yes
Acaciella_painteri,Yes
Adenopodia_scelerata,Yes
Adenopodia_spicata,Yes
Albizia_adianthifolia,Yes
Albizia_adinocephala,Yes
Albizia_altissima,Yes
Albizia_amara,Yes
Albizia_androyensis,Yes
Albizia_anthelmintica,Yes
Albizia_antunesiana,Yes
Albizia_arenicola,Yes
Albizia_atakataka,Yes
Albizia_aurisparsa,Yes
Albizia_bernieri,Yes
Albizia_berteriana,Yes
